City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
244,Mayo,US,38.8876,-76.5119,36.0,55,1,6.91,clear sky
245,Ostrovnoy,RU,68.0531,39.5131,12.76,95,100,10.85,light snow
246,Khani,GE,41.9563,42.9566,46.4,31,0,14.97,clear sky
247,Faanui,PF,-16.4833,-151.75,81.32,73,0,12.71,clear sky
248,Alyangula,AU,-13.8483,136.4192,78.8,94,75,5.75,light rain
249,Adrar,MR,20.5022,-10.0711,68.86,17,100,8.66,overcast clouds
250,Okmulgee,US,35.6234,-95.9605,57.2,72,90,4.61,overcast clouds
251,Madera,US,37.1666,-119.8343,46.99,77,100,4.0,overcast clouds
252,Pisco,PE,-13.7,-76.2167,80.6,54,0,13.8,clear sky
253,Bandarbeyla,SO,9.4942,50.8122,74.84,69,98,20.4,overcast clouds
254,Sayyan,YE,15.1718,44.3244,45.82,50,63,3.78,broken clouds
255,Husavik,IS,66.0449,-17.3389,24.8,93,90,4.61,light snow
256,San Joaquin,US,37.9333,-121.3011,53.6,58,90,12.66,overcast clouds
257,Kasungu,MW,-13.0333,33.4833,65.93,91,100,3.2,overcast clouds
258,Carnarvon,AU,-24.8667,113.6333,71.6,68,10,11.5,clear sky
259,Alasehir,TR,38.3508,28.5172,48.25,75,47,7.54,scattered clouds
260,Puerto Ayora,EC,-0.7393,-90.3518,84.2,65,40,14.97,light rain
261,Kununurra,AU,-15.7667,128.7333,77.0,100,100,5.14,overcast clouds
262,Cairns,AU,-16.9167,145.7667,73.4,83,92,2.3,overcast clouds
263,Raudeberg,NO,61.9875,5.1352,36.0,74,0,13.06,clear sky
264,Beloha,MG,-25.1667,45.05,76.41,86,12,9.82,few clouds
265,Assiniboia,CA,49.6334,-105.9845,-4.0,71,100,14.97,overcast clouds
266,Rawson,AR,-43.3002,-65.1023,79.54,49,0,12.33,clear sky
267,Kovdor,RU,67.5662,30.4758,8.49,96,90,2.62,overcast clouds
268,Sitka,US,57.0531,-135.33,37.4,87,75,5.75,broken clouds
269,Sokoni,TZ,-6.4333,39.55,80.6,78,20,6.91,few clouds
270,Yerbogachen,RU,61.2767,108.0108,-33.48,83,98,2.82,overcast clouds
271,Noumea,NC,-22.2763,166.4572,80.6,74,75,11.5,broken clouds
272,Houston,US,29.7633,-95.3633,77.0,73,90,16.11,overcast clouds
273,Genhe,CN,50.7833,121.5167,-3.91,89,100,5.37,overcast clouds
274,Sabang,ID,5.8933,95.3214,80.78,79,48,14.58,scattered clouds
275,Evensk,RU,61.95,159.2333,-20.38,77,0,11.41,clear sky
276,Bangolo,CI,7.0069,-7.475,73.31,26,0,0.22,clear sky
277,Yulara,AU,-25.2406,130.9889,78.8,73,4,10.36,clear sky
278,Maniitsoq,GL,65.4167,-52.9,16.16,76,91,4.52,overcast clouds
279,Sungaipenuh,ID,-2.0833,101.3833,64.49,90,100,2.48,moderate rain
280,Duns,GB,55.777,-2.3457,30.0,89,41,1.01,scattered clouds
281,Bud,US,39.447,-86.1758,33.01,95,100,3.42,overcast clouds
282,Sakakah,SA,29.9697,40.2064,50.0,27,0,6.91,clear sky
283,Carutapera,BR,-1.195,-46.02,77.45,90,100,6.35,moderate rain
284,Honningsvag,NO,70.9821,25.9704,23.0,68,75,14.97,broken clouds
285,Ixtapa,MX,20.7,-105.2,75.2,73,40,12.66,scattered clouds
286,Bulgan,MN,48.8125,103.5347,1.47,91,96,3.6,overcast clouds
287,Cuxhaven,DE,53.8718,8.6909,35.01,93,75,4.61,broken clouds
288,Springfield,US,37.2153,-93.2982,48.0,93,90,5.75,mist
289,Maceio,BR,-9.6658,-35.7353,80.6,74,20,13.8,few clouds
290,Chingirlau,KZ,51.095,54.0814,31.62,98,100,9.44,overcast clouds
291,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-0.4,71,96,8.95,overcast clouds
292,Saldanha,ZA,-33.0117,17.9442,64.4,59,0,8.05,clear sky
293,Kautokeino,NO,69.0125,23.0412,-9.62,89,93,1.43,overcast clouds
294,Zhanaozen,KZ,43.3,52.8,29.71,91,0,18.05,clear sky
295,Kandiari,PK,26.9156,68.5216,51.8,33,0,5.19,clear sky
296,Narbonne,FR,43.0833,2.8333,50.0,64,70,8.01,broken clouds
297,Aksu,CN,41.1231,80.2644,16.65,90,0,2.62,clear sky
298,Bodaybo,RU,57.8506,114.1933,-25.87,80,36,1.25,scattered clouds
299,Taoudenni,ML,22.6783,-3.9836,71.42,20,22,10.67,few clouds
300,Kabare,CD,-2.4683,28.8242,62.8,86,100,3.11,light rain
301,Astana,KZ,51.1801,71.446,-11.2,77,89,6.71,light snow
302,Davila,PH,18.4726,120.5763,73.4,94,75,1.14,broken clouds
303,Merauke,ID,-8.4667,140.3333,78.13,89,96,13.0,overcast clouds
304,Laguna,US,38.421,-121.4238,52.0,66,90,6.91,overcast clouds
305,Saint Anthony,US,45.0205,-93.218,26.6,58,1,4.61,clear sky
306,Vao,NC,-22.6667,167.4833,76.24,76,100,23.69,overcast clouds
307,Grand-Santi,GF,4.25,-54.3833,77.11,94,98,2.95,moderate rain
308,Gorontalo,ID,0.5412,123.0595,74.05,89,100,1.99,heavy intensity rain
309,Yurty,RU,56.0498,97.6348,-0.72,92,100,2.89,overcast clouds
310,Sirjan,IR,29.452,55.6814,40.19,54,0,3.89,clear sky
311,Vredendal,ZA,-31.6683,18.5012,62.98,69,0,2.62,clear sky
312,Palmas Bellas,PA,9.2319,-80.0867,82.0,75,17,14.0,few clouds
313,Palmer,US,42.1584,-72.3287,27.0,35,20,5.99,few clouds
314,Esperance,AU,-33.8667,121.9,57.2,94,75,3.44,broken clouds
315,Yenagoa,NG,4.9247,6.2642,79.16,79,56,6.02,broken clouds
316,Hami,CN,42.8,93.45,18.59,82,21,5.75,few clouds
317,Salalah,OM,17.0151,54.0924,71.6,37,0,6.91,clear sky
318,Dinguiraye,GN,11.3,-10.7167,71.67,18,0,1.83,clear sky
319,Tarancon,ES,40.0085,-3.0073,48.0,82,90,14.61,overcast clouds
320,Vallenar,CL,-28.5708,-70.7581,82.85,28,85,7.74,overcast clouds
321,High Level,CA,58.5169,-117.136,-7.6,77,75,6.91,broken clouds
322,Batagay-Alyta,RU,67.8006,130.4114,-39.33,77,87,0.65,overcast clouds
323,Severobaykalsk,RU,55.65,109.3167,-0.72,81,100,6.08,overcast clouds
324,Imeni Zhelyabova,RU,58.9544,36.5956,34.57,98,100,6.64,overcast clouds
325,Hasaki,JP,35.7333,140.8333,39.2,93,75,9.22,broken clouds
326,Pemangkat,ID,1.1667,108.9667,77.13,85,97,6.44,overcast clouds
327,Saint-Pierre,RE,-21.3393,55.4781,78.8,78,90,6.91,light rain
328,Ayodhya,IN,26.8,82.2,53.31,72,0,6.62,clear sky
329,Apatity,RU,67.5641,33.4031,12.0,78,88,3.11,overcast clouds
330,Necochea,AR,-38.5473,-58.7368,92.19,30,21,19.33,few clouds
331,Aklavik,CA,68.2191,-135.0107,-20.2,76,90,4.16,overcast clouds
332,Grand Gaube,MU,-20.0064,57.6608,75.0,89,9,7.36,moderate rain
333,Smithers,CA,54.7804,-127.1743,19.4,86,90,2.3,light snow
334,Decatur,US,39.8403,-88.9548,39.99,65,90,6.91,overcast clouds
335,Toba,JP,34.4833,136.85,45.0,85,57,5.99,broken clouds
336,Prainha,BR,-1.8,-53.48,79.92,89,85,2.95,overcast clouds
